artist,song,duration_ms,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Gabrielle,Rise,219093,2001,60,0.558,0.481,-9.487,0.026,0.315,8.83e-06,0.09,0.631,144.673,"pop, R&B"
Travis,Sing,228800,2001,68,0.33,0.905,-5.047,0.0497,0.000233,8.14e-06,0.0712,0.259,163.142,"rock, pop"
Gabrielle,Out Of Reach,196986,2001,69,0.51,0.48,-6.567,0.0452,0.503,0.0,0.106,0.496,182.862,"pop, R&B"
K-Ci & JoJo,Crazy,262773,2019,30,0.68,0.644,-4.507,0.0258,0.084,0.0,0.549,0.484,116.097,"pop, R&B"
3LW,No More (Baby I'ma Do Right),263440,2000,56,0.721,0.723,-7.08,0.0631,0.102,4.4e-06,0.0651,0.761,88.933,"pop, R&B"
Ginuwine,Differences,265533,2001,65,0.562,0.594,-4.578,0.0558,0.318,0.0,0.311,0.423,62.876,"hip hop, pop, R&B"
*NSYNC,Gone,292000,2001,45,0.699,0.403,-8.564,0.0614,0.421,0.0,0.126,0.5,113.922,pop
Lifehouse,Hanging By A Moment,216360,2000,61,0.537,0.858,-4.903,0.0349,0.000966,0.0,0.0812,0.502,124.599,"pop, rock, metal"
Avril Lavigne,Complicated,244506,2002,78,0.585,0.776,-5.898,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,pop
Vanessa Carlton,A Thousand Miles,237493,2002,75,0.56,0.825,-3.862,0.0379,0.323,0.0,0.161,0.268,94.931,"Folk/Acoustic, pop"
The Calling,Wherever You Will Go,208600,2001,72,0.558,0.719,-5.113,0.0267,0.0367,0.0,0.115,0.371,112.027,pop
Shakira,Underneath Your Clothes,224066,2001,64,0.616,0.597,-5.328,0.0415,0.691,0.0,0.104,0.362,165.508,"pop, latin"
No Doubt,Underneath It All,302720,2001,27,0.729,0.731,-4.822,0.0684,0.232,1.57e-06,0.391,0.839,138.202,"rock, pop"
Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",285586,2004,69,0.713,0.471,-7.392,0.483,0.421,0.0,0.0308,0.779,199.764,"hip hop, pop"
Christina Milian,When You Look At Me - Radio Edit,222546,2001,60,0.955,0.839,-3.399,0.127,0.0934,0.000175,0.099,0.825,108.955,"hip hop, pop, R&B"
Madonna,Die Another Day,276360,2003,53,0.792,0.797,-5.166,0.0901,0.062,0.00325,0.0896,0.491,123.993,pop
